text,label
I feel happy and energetic today,Positive
Life feels meaningful and hopeful,Positive
Today was productive and motivating,Positive
I am grateful for my family and friends,Positive
I am grateful for my family and friends,Positive
Today was productive and motivating,Positive
I feel calm and relaxed,Positive
I feel happy and energetic today,Positive
I feel calm and relaxed,Positive
Today was productive and motivating,Positive
I feel happy and energetic today,Positive
Today was productive and motivating,Positive
I feel happy and energetic today,Positive
I feel calm and relaxed,Positive
Life feels meaningful and hopeful,Positive
Today was productive and motivating,Positive
Today was productive and motivating,Positive
I am confident about my goals,Positive
I feel happy and energetic today,Positive
Life feels meaningful and hopeful,Positive
I am confident about my goals,Positive
I am grateful for my family and friends,Positive
I am confident about my goals,Positive
I feel calm and relaxed,Positive
I feel calm and relaxed,Positive
Life feels meaningful and hopeful,Positive
I feel calm and relaxed,Positive
Life feels meaningful and hopeful,Positive
Today was productive and motivating,Positive
I feel happy and energetic today,Positive
I am grateful for my family and friends,Positive
Life feels meaningful and hopeful,Positive
I feel calm and relaxed,Positive
Life feels meaningful and hopeful,Positive
I am grateful for my family and friends,Positive
I feel happy and energetic today,Positive
I feel calm and relaxed,Positive
Life feels meaningful and hopeful,Positive
I am grateful for my family and friends,Positive
I feel happy and energetic today,Positive
I feel calm and relaxed,Positive
I am confident about my goals,Positive
I am grateful for my family and friends,Positive
I feel happy and energetic today,Positive
Today was productive and motivating,Positive
I am confident about my goals,Positive
Today was productive and motivating,Positive
I feel calm and relaxed,Positive
I feel calm and relaxed,Positive
I am grateful for my family and friends,Positive
I feel happy and energetic today,Positive
I feel happy and energetic today,Positive
Today was productive and motivating,Positive
Life feels meaningful and hopeful,Positive
I feel happy and energetic today,Positive
I feel happy and energetic today,Positive
I am confident about my goals,Positive
I am grateful for my family and friends,Positive
Today was productive and motivating,Positive
I feel calm and relaxed,Positive
Life feels meaningful and hopeful,Positive
Life feels meaningful and hopeful,Positive
I feel happy and energetic today,Positive
I am grateful for my family and friends,Positive
I feel calm and relaxed,Positive
Life feels meaningful and hopeful,Positive
I feel calm and relaxed,Positive
I feel calm and relaxed,Positive
Life feels meaningful and hopeful,Positive
I feel calm and relaxed,Positive
I am confident about my goals,Positive
I feel calm and relaxed,Positive
I feel happy and energetic today,Positive
I feel calm and relaxed,Positive
I feel calm and relaxed,Positive
